pair,sharpe_ratio,volatility,avg_trade_duration,total_trades,total_profit,profit_per_year,total_buy_trades,total_sell_trades,profit_loss_by_pair,max_loss,avg_win,avg_loss
GBPUSD_USDJPY,0.18567387371510502,1423.1070199401574,14 days 12:38:57.931034482,29,7662.78,"{2021: 652.06, 2023: -2106.6399999999994, 2024: 2456.64, 2025: 6660.72}",15,14,7662.78,-6564.95,607.2614814814814,-4366.639999999999
USDCHF_AUDCAD,0.012640034036906599,1876.6362653293882,19 days 04:49:37.611940298,67,1589.2900000000022,"{2021: 4601.76, 2022: 3672.1800000000003, 2023: 1292.1599999999999, 2024: -48.49999999999943, 2025: -7928.3099999999995}",43,24,1589.2900000000022,-10488.89,520.1406557377048,-5023.215
GBPCAD_CADCHF,0.25904898939075716,1482.4031489068093,6 days 06:16:00.902255639,133,51074.00000000001,"{2020: 20454.85, 2021: -2733.419999999999, 2023: 16937.25, 2024: 12095.16, 2025: 4320.16}",72,61,51074.00000000001,-15087.97,554.037175572519,-10752.435
GBPNZD_NZDCHF,0.42555802593570596,1087.2813421152755,2 days 12:35:20,315,145750.91,"{2020: 27952.920000000002, 2021: 29446.97, 2022: 45846.53, 2023: 31765.79, 2024: 352.2000000000003, 2025: 10386.5}",166,149,145750.91,-15032.71,570.4534726688103,-7915.03
USDJPY_AUDUSD,0.038869743970320156,3649.625274308994,8 days 23:08:17.560975609,41,5816.260000000003,"{2020: 3719.09, 2021: 3668.21, 2022: 5017.82, 2023: 6205.83, 2024: -19709.43, 2025: 6914.74}",22,19,5816.260000000003,-15518.88,939.8653846153846,-15419.244999999999
EURAUD_AUDJPY,0.9059438293124874,491.3926366957713,9 days 23:09:40.952380952,63,28045.969999999998,"{2021: 1510.35, 2022: 5720.69, 2023: 10555.69, 2024: 3824.01, 2025: 6435.23}",33,30,28045.969999999998,-2939.18,529.0468852459015,-2112.9449999999997
EURNZD_AUDCAD,0.3333654021205991,1039.607113616683,8 days 15:24:57.391304347,115,39855.44,"{2021: 1758.2599999999998, 2022: 18449.36, 2023: 18080.15, 2024: -1860.4700000000007, 2025: 3428.14}",61,54,39855.44,-6486.63,550.8784545454545,-4148.238
GBPUSD_USDCHF,0.4376528052228595,879.2437887890378,10 days 19:48:52.978723404,94,36171.52999999999,"{2020: 5492.02, 2021: 5582.469999999999, 2022: 8670.86, 2023: 2717.619999999999, 2024: 10971.97, 2025: 2736.59}",50,44,36171.52999999999,-4847.31,542.0602197802198,-4385.316666666667
EURAUD_AUDNZD,0.03891069516843732,1947.6790179767686,16 days 00:50:11.881188118,101,7654.339999999996,"{2020: -5378.120000000001, 2021: -5713.110000000001, 2022: -4288.9, 2023: 16095.22, 2024: 9058.039999999999, 2025: -2118.79}",51,50,7654.339999999996,-15235.61,539.7192391304347,-4666.647777777778
GBPCAD_CADJPY,0.046332133303086706,1940.473245039449,12 days 17:55:14.457831325,83,7462.220000000002,"{2020: 21165.47, 2021: -6941.630000000001, 2023: 1213.2399999999989, 2024: -12263.03, 2025: 4288.17}",39,44,7462.220000000002,-10631.54,542.6217948717949,-6972.456
EURAUD_AUDCHF,5.568728476952119,99.09800045501521,4 days 15:49:42.857142857,70,38629.490000000005,"{2020: 1037.81, 2021: 2304.66, 2022: 5546.78, 2023: 8198.88, 2024: 14439.14, 2025: 7102.22}",53,17,38629.490000000005,0.0,551.8498571428572,0.0
GBPNZD_NZDJPY,0.09319051384347375,2089.17359997964,7 days 21:51:56.129032258,155,30177.129999999997,"{2020: 27154.19, 2021: 2016.330000000001, 2022: 12682.19, 2023: -3604.8900000000003, 2024: 5110.429999999999, 2025: -13181.12}",76,79,30177.129999999997,-16151.86,558.6362416107382,-8843.278333333334
USDCHF_AUDUSD,-0.00420763520152117,1955.4714355433248,19 days 12:41:42.985074626,67,-551.2700000000024,"{2020: -6716.24, 2021: 5163.87, 2022: -1585.9299999999998, 2023: 10644.14, 2024: -3154.6800000000003, 2025: -4902.429999999999}",36,31,-551.2700000000024,-8600.25,527.6624193548387,-6653.267999999999
AUDUSD_EURNZD,0.2442155717319734,992.1609736098867,18 days 01:51:18.260869565,69,16718.78,"{2020: -4614.5, 2021: -2957.09, 2022: 9483.25, 2023: 6679.0199999999995, 2024: 8278.28, 2025: -150.1799999999999}",44,25,16718.78,-3753.16,530.9876190476191,-2788.906666666667
GBPAUD_NZDCAD,0.15352151980615733,1836.9604038327361,7 days 10:44:15.704697986,149,42019.929999999986,"{2021: 16086.3, 2022: -9475.08, 2023: 7803.72, 2024: 13077.19, 2025: 14527.800000000001}",93,56,42019.929999999986,-15009.95,555.0928472222222,-7582.688000000002
EURNZD_AUDJPY,-0.012823378597447145,1978.9747814351301,18 days 17:02:18.095238095,63,-1598.760000000002,"{2021: -680.4200000000003, 2022: 11050.869999999999, 2023: -667.7000000000008, 2024: -6677.17, 2025: -4624.34}",27,36,-1598.760000000002,-10542.28,569.1698214285715,-4781.7528571428575
GBPAUD_NZDCHF,0.20099092894073367,1752.2186129744168,4 days 16:36:32.523364486,214,75366.53,"{2020: 2110.7300000000005, 2021: 11114.56, 2022: -2536.539999999999, 2023: 24903.72, 2024: 26570.260000000002, 2025: 13203.8}",129,85,75366.53,-15105.49,578.770857142857,-11543.8375
EURAUD_AUDCAD,0.29855800399322213,1032.872065386741,15 days 22:45:00,63,19427.45,"{2021: 5190.25, 2022: 5384.900000000001, 2023: 828.1299999999998, 2024: 8171.53, 2025: -147.36}",36,27,19427.45,-4405.09,537.0771666666667,-4265.7266666666665
USDCAD_AUDJPY,0.13419430580836444,1073.8382515960836,24 days 13:43:43.404255319,47,6772.84,"{2021: -1270.9899999999998, 2022: -2106.5099999999998, 2023: 6173.06, 2024: 2181.41, 2025: 1795.87}",25,22,6772.84,-3694.35,533.3831707317073,-2515.978333333333
USDJPY_EURCAD,0.5505570882661585,1048.3792350496158,6 days 08:26:25.714285714,42,24242.09,"{2023: 15627.85, 2024: 12952.39, 2025: -4338.15}",12,30,24242.09,-5542.38,726.450487804878,-5542.38
GBPUSD_USDCAD,0.48106010177788416,782.7341584168647,11 days 21:38:46.086956521,69,25981.409999999996,"{2020: 12549.81, 2021: -2145.7799999999997, 2022: 4317.35, 2023: 5284.79, 2024: 1276.1999999999998, 2025: 4699.04}",37,32,25981.409999999996,-4700.04,533.8648484848486,-3084.556666666667
AUDUSD_EURAUD,0.14737497475198177,1151.9476104114963,20 days 18:25:22.500000,40,6790.73,"{2020: 1529.1100000000001, 2021: -539.28, 2022: 7433.610000000001, 2023: 185.4599999999997, 2024: 5118.47, 2025: -6936.64}",26,14,6790.73,-5666.52,528.6754285714287,-2342.582
AUDNZD_NZDCAD,0.3739620346631475,770.6813228117167,23 days 08:39:04.444444444,54,15563.099999999999,"{2021: 2635.97, 2022: 5585.51, 2023: 1205.6200000000003, 2024: 2468.88, 2025: 3667.12}",34,20,15563.099999999999,-3061.54,529.974375,-1645.9449999999997
GBPAUD_NZDJPY,0.14086657838258868,1770.898849128966,9 days 03:29:30,130,32429.860000000004,"{2020: 16893.41, 2021: 5115.219999999999, 2022: 3941.850000000001, 2023: -2375.29, 2024: 8114.6, 2025: 740.0699999999999}",65,65,32429.860000000004,-15015.0,551.6612000000001,-7305.557999999999
